Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Class
56,0,96,0,54,17,40,42,2,1
56,5,97,0,54,-4,40,42,2,1
43,0,81,0,44,13,38,37,0,1
44,0,76,0,42,-4,32,35,2,1
37,1,79,-5,36,-8,42,43,2,1
43,0,86,5,42,-17,43,45,2,1
47,-2,84,-3,46,0,38,38,0,1
56,3,82,0,56,18,26,25,0,1
42,-5,83,0,42,0,41,42,0,1
37,-3,77,0,36,0,40,41,0,1
37,4,79,0,26,18,41,53,12,1
52,-4,90,0,52,0,38,38,0,1
48,-5,81,6,46,0,33,35,2,1
37,0,105,-1,24,0,68,82,14,1
56,0,107,0,56,11,51,50,0,1
45,2,86,0,44,-5,40,42,2,1
37,0,108,0,30,-20,71,77,6,1
37,0,80,1,36,-4,43,44,2,1
59,0,86,0,60,10,28,27,0,1
37,0,76,0,28,11,40,48,8,1
41,0,80,0,42,29,39,39,0,1
41,0,79,-5,38,-7,38,40,2,1
41,0,86,0,42,27,45,44,0,1
37,0,75,0,20,6,38,54,16,1
37,0,106,7,36,0,69,70,2,1
39,0,86,0,38,0,48,48,0,1
52,0,87,-4,52,0,35,35,0,1
52,0,88,-6,52,0,35,36,0,1
55,0,86,0,54,-9,30,32,2,1
53,2,84,0,54,29,31,30,0,1
51,0,88,0,52,11,36,36,0,1
41,92,78,0,38,0,37,39,2,1
51,0,86,-1,52,2,35,35,0,1
40,4,86,0,38,0,47,48,2,1
46,-5,80,0,46,0,34,34,0,1
49,0,79,0,46,-5,31,33,2,1
37,0,83,6,6,0,47,78,32,1
37,0,84,0,28,-10,47,55,8,1
52,0,86,0,54,30,33,32,0,1
55,-1,77,0,54,0,22,23,0,1
37,0,106,0,26,13,68,80,12,1
45,0,79,-4,44,-11,33,35,2,1
37,0,81,2,12,0,45,68,24,1
53,0,80,0,52,-13,27,28,2,1
37,0,79,0,34,13,42,46,4,1
44,0,88,1,42,-16,44,46,2,1
48,-3,79,0,46,0,31,32,2,1
48,0,83,-2,46,-3,35,37,2,1
37,-3,104,0,24,11,67,80,14,1
37,0,77,0,36,-24,39,41,2,1
41,0,82,-3,38,0,41,43,2,1
48,0,77,0,46,0,29,30,2,1
45,0,88,-3,44,-53,42,44,2,1
56,0,83,0,54,-29,27,28,2,1
37,0,76,0,38,2,38,37,0,1
37,0,95,-1,8,-15,58,87,30,1
55,0,83,4,54,0,29,29,0,1
42,0,86,-3,42,0,43,44,2,1
44,-5,85,0,44,0,41,41,0,1
43,0,82,0,42,-16,39,41,2,1
42,0,83,6,42,0,41,41,0,1
41,0,83,0,42,3,41,41,0,1
59,-5,87,0,60,0,28,28,0,1
38,0,79,6,38,0,41,40,0,1
37,0,98,0,28,-5,61,70,8,1
45,0,75,0,44,0,30,31,0,1
